source_url,condition_id,category_name,group_name,rate,fixed_amount,raw_text
https://www.card-gorilla.com/card/detail/1,1,적립,쇼핑,5.0,,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립
https://www.card-gorilla.com/card/detail/1,1,적립,모든가맹점,2.0,,"전국 가맹점 0.2~2.0% 적립
해외 가맹점 1~5% 적립"
https://www.card-gorilla.com/card/detail/1,1,적립,주유,,60,"S-OIL, 에이치디현대오일뱅크 주유 시 리터 당 60원 적립"
https://www.card-gorilla.com/card/detail/1,1,적립,금융,0.2,,"신한투자증권 CMA 결제계좌 0.2% 추가 적립
마이신한포인트 가맹점 추가 적립"
https://www.card-gorilla.com/card/detail/1,1,적립,통신,5.0,,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
https://www.card-gorilla.com/card/detail/1,1,무이자할부,기타,,,무이자/영화/테마파크
https://www.card-gorilla.com/card/detail/1,1,적립,적립,,,포인트 적립상세 및 포인트 사용 안내
https://www.card-gorilla.com/card/detail/2,2,할인,백화점,5.0,,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인"
https://www.card-gorilla.com/card/detail/2,2,할인,패밀리레스토랑,30.0,,"국내 유명 패밀리레스토랑, 커피 20~30% 할인"
https://www.card-gorilla.com/card/detail/2,2,할인,주유소,,60,GS칼텍스 리터당 60원 할인
https://www.card-gorilla.com/card/detail/2,2,할인,영화,,7000,"CGV, YES24 영화 예매시 최대 7,000원 할인"
https://www.card-gorilla.com/card/detail/2,2,적립,적립,,,신한카드 Love포인트 적립 및 사용
https://www.card-gorilla.com/card/detail/2,2,할인,테마파크,50.0,,주요 놀이공원 30~50% 할인 및 스포츠 할인 서비스
https://www.card-gorilla.com/card/detail/2,2,할인,경기관람,,,"프로야구, 프로농구 할인 서비스"
https://www.card-gorilla.com/card/detail/2,2,할인,기타,,,통합할인한도
https://www.card-gorilla.com/card/detail/3,3,할인,쇼핑,5.0,,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인"
https://www.card-gorilla.com/card/detail/3,3,할인,푸드,20.0,,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인
https://www.card-gorilla.com/card/detail/3,3,할인,영화,,1500,"맥스무비, 인터파크 YES24 예매시 1,500원 할인"
https://www.card-gorilla.com/card/detail/3,3,적립,주유소,,60,S-OIL 주유 시 리터 당 60원 적립
https://www.card-gorilla.com/card/detail/3,3,할인,교육/육아,15.0,,"베이비 프리미엄 제품 전문쇼핑몰 「쁘띠엘린스토어」
오프라인 매장 15%, 온라인몰 20% 할인"
https://www.card-gorilla.com/card/detail/3,3,할인,테마파크,50.0,,주요 놀이공원 최대 50% 할인
https://www.card-gorilla.com/card/detail/3,3,할인,통신,2.0,,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)"
https://www.card-gorilla.com/card/detail/3,3,할인,경기관람,,,스포츠 관람 할인 서비스
https://www.card-gorilla.com/card/detail/8,4,기타,선택형,,,Gift Option Service - 매년 1회 옵션 품목 중 한 가지를 선택하여 이용
https://www.card-gorilla.com/card/detail/8,4,적립,국내외가맹점,0.7,,"일시불/할부 이용금액의 0.7% 마이신한포인트 적립
해외, 명품 아울렛(신세계/롯데), 면세점, 골프 업종 이용 시 5% 마이신한포인트 적립"
https://www.card-gorilla.com/card/detail/8,4,할인,주유소,,60,GS칼텍스 주유 시 리터당 60원 결제일 할인
https://www.card-gorilla.com/card/detail/8,4,할인,생활,5.0,,커피/제과/택시/화장품/영화 5% 할인
